"","Peak.Brightness.Date.Time..UT.","Latitude..deg..","Longitude..deg..","Altitude..km.","Velocity..km.s.","Calculated.Total.Impact.Energy..kt.","Altitud.sin","Velocidad.sin","Altitud.Clase"
"189","2012-03-03 21:28:24","7.8N","2.7E",20.4,NA,0.31,20.4,11.4,"Estratosfera"
"190","2012-03-01 03:12:40","46.9N","29.8W",NA,NA,0.079,38,16.7,"Estratosfera"
"191","2012-02-24 19:11:41","22.7S","30.8E",NA,NA,0.13,42.5,14.7,"Estratosfera"
"192","2012-02-17 10:47:16","3.2S","39.9W",45.6,NA,0.44,45.6,11.4,"Estratosfera"
"193","2012-02-12 05:25:52","31.7S","54.9E",61,NA,0.41,61,11.4,"Mesosfera"
"194","2012-02-04 14:42:51","32.4N","0.1E",34.2,12.2,0.43,34.2,12.2,"Estratosfera"
"195","2012-01-15 12:26:20","64.1S","109.9E",26.3,12.3,0.076,26.3,12.3,"Estratosfera"
"196","2012-01-11 02:23:15","32.2N","88.5E",NA,NA,0.26,20,15.9,"Estratosfera"
"197","2011-12-19 11:35:39","30.2S","52.6E",36.1,NA,0.4,36.1,15.9,"Estratosfera"
"198","2011-12-14 05:01:38","62.9S","89.6E",32.4,NA,0.16,32.4,11.4,"Estratosfera"
"199","2011-12-11 17:29:33","","",NA,NA,0.1,20,15.9,"Estratosfera"
"200","2011-11-20 05:25:05","27.9S","116.3E",NA,NA,0.082,64.5,15.9,"Mesosfera"
"201","2011-10-12 07:13:20","26.4S","78.4W",NA,NA,0.12,33.3,15.9,"Estratosfera"
"202","2011-09-13 23:36:47","19.9S","13.8W",21.3,16.7,0.21,21.3,16.7,"Estratosfera"
"203","2011-08-31 09:44:13","18.6N","5.1W",NA,NA,0.095,33.3,14.7,"Estratosfera"
"204","2011-08-20 20:01:37","27.2S","2.8W",NA,NA,0.082,20,16.7,"Estratosfera"
"205","2011-08-18 14:55:45","","",NA,NA,0.082,64.5,14.7,"Mesosfera"
"206","2011-08-11 02:56:08","","",NA,NA,0.12,64.5,14.6,"Mesosfera"
"207","2011-08-04 07:25:57","40.7S","86.7W",63,NA,0.098,63,14.7,"Mesosfera"
"208","2011-07-27 23:00:36","45.3S","63.5E",29.6,NA,0.15,29.6,11.4,"Estratosfera"
"209","2011-07-07 23:25:54","","",NA,NA,0.11,42.5,16.7,"Estratosfera"
"210","2011-07-05 15:42:41","29.1N","139.7E",40.7,NA,0.21,40.7,15.9,"Estratosfera"
"211","2011-07-04 09:18:04","51.7S","175.0E",NA,NA,0.1,42.5,16.7,"Estratosfera"
"212","2011-06-16 11:51:50","67.3N","21.4W",40.5,NA,0.086,40.5,11.4,"Estratosfera"
"213","2011-05-25 05:40:02","4.1N","14.0E",59,11.6,4.8,59,11.6,"Mesosfera"
"214","2011-05-16 13:39:06","1.2S","92.8E",NA,NA,0.073,33.3,16.7,"Estratosfera"
"215","2011-04-27 20:38:09","1.4N","126.6W",28.7,NA,0.61,28.7,16.7,"Estratosfera"
"216","2011-04-27 11:21:44","","",NA,NA,0.086,20,11.4,"Estratosfera"
"217","2011-04-17 11:21:44","","",NA,NA,0.086,38,15.9,"Estratosfera"
"218","2011-04-06 08:30:55","71.1N","43.5W",22.2,12.7,0.43,22.2,12.7,"Estratosfera"
"219","2011-03-24 20:23:58","0.6N","127.5W",59,NA,0.19,59,14.6,"Mesosfera"
"220","2011-03-23 04:24:46","","",NA,NA,0.11,38,15.9,"Estratosfera"
"221","2011-03-23 04:16:32","16.8S","85.6W",NA,NA,0.079,42.5,14.6,"Estratosfera"
"222","2011-03-01 10:37:54","53.5N","103.9E",30.6,11.9,0.13,30.6,11.9,"Estratosfera"
"223","2011-02-21 05:07:03","26.3N","43.7E",44.4,18,0.13,44.4,18,"Estratosfera"
"224","2011-02-12 11:00:12","7.8N","95.3W",NA,NA,0.073,20,15.9,"Estratosfera"
"225","2011-01-21 15:11:43","18.9N","44.6W",61,NA,0.23,61,15.9,"Mesosfera"
"226","2011-01-08 19:38:44","33.3N","125.8W",48,NA,0.1,48,14.7,"Estratosfera"
"227","2010-12-25 23:24:00","38.0N","158.0E",26,18.1,33,26,18.1,"Estratosfera"
"228","2010-12-14 00:27:53","4.9S","175.5E",24,NA,0.13,24,16.7,"Estratosfera"
"229","2010-12-09 02:54:07","54.5S","169.7W",66,NA,0.2,66,14.6,"Mesosfera"
"230","2010-12-01 06:31:46","72.5S","144.9E",33.3,NA,0.39,33.3,11.4,"Estratosfera"
"231","2010-11-21 14:45:27","1.9N","143.3E",50,NA,0.25,50,14.6,"Estratosfera"
"232","2010-11-19 07:25:56","10.3S","148.8E",30,NA,0.11,30,14.6,"Estratosfera"
"233","2010-11-10 08:26:35","74.5N","77.7W",NA,NA,0.22,20,14.7,"Estratosfera"
"234","2010-11-09 13:05:46","56.3S","16.7W",37,NA,0.27,37,11.4,"Estratosfera"
"235","2010-11-09 06:56:52","14.0S","160.0W",26,NA,0.073,26,11.4,"Estratosfera"
"236","2010-10-27 11:27:39","14.1S","67.7E",35.2,NA,0.42,35.2,11.4,"Estratosfera"
"237","2010-10-08 09:58:01","","",NA,NA,0.073,38,16.7,"Estratosfera"
"238","2010-09-24 12:02:07","67.4S","50.6W",NA,NA,0.16,33.3,14.6,"Estratosfera"
"239","2010-09-18 05:04:41","7.4N","36.7E",NA,NA,0.21,33.3,14.7,"Estratosfera"
"240","2010-09-08 19:51:36","13.9S","65.5W",46.3,NA,0.21,46.3,16.7,"Estratosfera"
"241","2010-09-05 23:37:33","25.9S","49.0E",35.2,NA,1.7,35.2,14.7,"Estratosfera"
"242","2010-09-03 12:04:58","61.0S","146.7E",33.3,12.3,3.8,33.3,12.3,"Estratosfera"
"243","2010-08-17 04:19:37","20.7N","114.3W",33.3,NA,0.076,33.3,15.9,"Estratosfera"
"244","2010-07-15 01:49:56","60.9N","178.1W",NA,NA,0.086,42.5,14.6,"Estratosfera"
"245","2010-07-06 23:54:43","34.1S","174.5W",26,15.7,14,26,15.7,"Estratosfera"
