"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"165","2011 AE3","2019-2117",620,5.8e-05,4.77,27.7,0.01,-5.27,"Medio Plazo",-9.75506754741786,"Nivel Alto","Nivel Alto",2019,2117
"166","2017 QC36","2024-2117",79,5e-07,4.51,23.1,0.081,-5.27,"Medio Plazo",-14.5086577385242,"Nivel Bajo","Nivel Alto",2024,2117
"167","2009 BR5","2059-2078",2,1.7e-07,17.97,22.1,0.13,-5.28,"Muy Largo Plazo",-15.5874673998962,"Nivel Bajo","Nivel Alto",2059,2078
"168","2009 FJ","2058-2117",15,9.4e-06,8.92,24.9,0.036,-5.28,"Muy Largo Plazo",-11.5748008686883,"Nivel Bajo","Nivel Alto",2058,2117
"169","2010 MZ112","2029-2117",193,4.7e-06,1.8,25.3,0.032,-5.28,"Largo Plazo",-12.2679480492483,"Nivel Bajo","Nivel Alto",2029,2117
"170","2001 BA16","2033-2052",5,9.9e-06,4.9,25.8,0.023,-5.29,"Largo Plazo",-11.5229758008237,"Nivel Medio","Nivel Alto",2033,2052
"171","2006 CD","2021-2113",48,2e-08,11.26,21,0.215,-5.31,"Medio Plazo",-17.7275335633924,"Nivel Bajo","Nivel Alto",2021,2113
"172","2010 HV20","2116-2116",2,1.3e-07,24.74,21.9,0.14,-5.33,"Muy Largo Plazo",-15.8557313864908,"Nivel Bajo","Nivel Alto",2116,2116
"173","2008 KO","2049-2061",3,7.8e-07,23.49,24.4,0.045,-5.34,"Largo Plazo",-14.0639719172628,"Nivel Bajo","Nivel Alto",2049,2061
"174","2011 BG10","2051-2074",4,1.3e-05,12.3,26.3,0.019,-5.34,"Muy Largo Plazo",-11.2505612005027,"Nivel Medio","Nivel Alto",2051,2074
"175","2016 FV13","2114-2114",1,2.5e-05,11.06,25.9,0.022,-5.34,"Muy Largo Plazo",-10.5966347330961,"Nivel Medio","Nivel Alto",2114,2114
"176","2010 UJ","2022-2109",111,1.1e-05,2.92,26.3,0.019,-5.35,"Medio Plazo",-11.4176152851659,"Nivel Medio","Nivel Alto",2022,2109
"177","2016 CK137","2040-2117",80,9.1e-05,9.86,27.4,0.011,-5.35,"Largo Plazo",-9.30465105144742,"Nivel Alto","Nivel Alto",2040,2117
"178","2002 TY59","2084-2114",5,1.7e-05,8.22,25.4,0.028,-5.36,"Muy Largo Plazo",-10.9822972139081,"Nivel Bajo","Nivel Alto",2084,2114
"179","2015 KG158","2045-2111",36,0.00024,7.69,28.3,0.007,-5.37,"Largo Plazo",-8.33487163462228,"Nivel Alto","Nivel Alto",2045,2111
"180","2007 EV","2088-2117",9,8.8e-06,10.59,25,0.033,-5.38,"Muy Largo Plazo",-11.6407588364801,"Nivel Bajo","Nivel Alto",2088,2117
"181","2005 TM173","2018-2116",153,9.5e-07,8.68,24.1,0.051,-5.38,"Medio Plazo",-13.8668038523518,"Nivel Bajo","Nivel Alto",2018,2116
"182","2014 NJ65","2022-2114",8,2e-09,8.58,19.3,0.462,-5.39,"Medio Plazo",-20.0301186563865,"Nivel Bajo","Nivel Alto",2022,2114
"183","2014 MO68","2020-2116",203,7.5e-07,8.09,23.6,0.066,-5.4,"Medio Plazo",-14.1031926304161,"Nivel Bajo","Nivel Alto",2020,2116
"184","2005 EL70","2034-2034",1,1.3e-07,35.53,24.1,0.052,-5.4,"Largo Plazo",-15.8557313864908,"Nivel Bajo","Nivel Alto",2034,2034
"185","2005 WG57","2029-2104",7,7.2e-07,9.88,23.6,0.063,-5.41,"Largo Plazo",-14.1440146249363,"Nivel Bajo","Nivel Alto",2029,2104
"186","2009 OW6","2080-2115",2,1.2e-05,6.65,25.3,0.029,-5.41,"Muy Largo Plazo",-11.3306039081763,"Nivel Bajo","Nivel Alto",2080,2115
"187","2011 AM37","2041-2113",123,0.001,3.65,29.7,0.004,-5.41,"Largo Plazo",-6.90775527898214,"Nivel Alto","Nivel Alto",2041,2113
"188","2016 RR1","2063-2113",26,0.00021,6.75,27.8,0.009,-5.41,"Muy Largo Plazo",-8.46840302724681,"Nivel Alto","Nivel Alto",2063,2113
"189","2007 UO6","2031-2113",13,2e-05,11.68,27.4,0.011,-5.42,"Largo Plazo",-10.8197782844103,"Nivel Alto","Nivel Alto",2031,2113
"190","2008 VS4","2018-2114",315,6.1e-07,9.31,24.2,0.049,-5.42,"Medio Plazo",-14.3098068797791,"Nivel Bajo","Nivel Alto",2018,2114
"191","2010 GH7","2099-2117",56,0.00014,5.05,27.3,0.012,-5.43,"Muy Largo Plazo",-8.87386813535497,"Nivel Medio","Nivel Alto",2099,2117
"192","2004 GE2","2106-2109",2,6.5e-08,20.57,21.4,0.18,-5.44,"Muy Largo Plazo",-16.5488785670508,"Nivel Bajo","Nivel Alto",2106,2109
"193","2012 BY1","2043-2074",7,4e-06,18.19,25.8,0.024,-5.44,"Largo Plazo",-12.4292161968444,"Nivel Medio","Nivel Alto",2043,2074
"194","2005 VN5","2047-2115",23,5e-05,6.57,27,0.014,-5.45,"Largo Plazo",-9.90348755253613,"Nivel Medio","Nivel Alto",2047,2115
"195","2009 FG","2022-2112",30,7.9e-06,9.12,25.5,0.027,-5.45,"Medio Plazo",-11.7486477984913,"Nivel Bajo","Nivel Alto",2022,2112
"196","2005 AU3","2081-2117",30,1.5e-05,14.39,26,0.021,-5.45,"Muy Largo Plazo",-11.1074603568621,"Nivel Medio","Nivel Alto",2081,2117
"197","2016 BA15","2054-2108",16,1.7e-05,15.88,26.8,0.015,-5.46,"Muy Largo Plazo",-10.9822972139081,"Nivel Medio","Nivel Alto",2054,2108
"198","2011 SM173","2058-2112",10,5.6e-05,14.25,27.8,0.009,-5.47,"Muy Largo Plazo",-9.79015886722913,"Nivel Alto","Nivel Alto",2058,2112
"199","2009 FZ10","2111-2115",3,1e-05,13.01,25.5,0.027,-5.48,"Muy Largo Plazo",-11.5129254649702,"Nivel Bajo","Nivel Alto",2111,2115
"200","2016 DA31","2020-2117",190,0.00029,13.74,29.9,0.004,-5.5,"Medio Plazo",-8.14562963498375,"Nivel Alto","Nivel Alto",2020,2117
"201","2017 DC120","2021-2115",81,5.2e-08,10.55,22.3,0.12,-5.5,"Medio Plazo",-16.772022118365,"Nivel Bajo","Nivel Alto",2021,2115
"202","2004 ME6","2019-2105",45,1e-07,12.17,22.6,0.103,-5.51,"Medio Plazo",-16.1180956509583,"Nivel Bajo","Nivel Alto",2019,2105
"203","2010 TW149","2058-2113",54,8.6e-06,17.07,25.9,0.023,-5.52,"Muy Largo Plazo",-11.6637483547048,"Nivel Medio","Nivel Alto",2058,2113
"204","2011 EB","2070-2110",4,3.3e-05,10.31,26.9,0.014,-5.52,"Muy Largo Plazo",-10.3190029964978,"Nivel Medio","Nivel Alto",2070,2110
"205","2015 DA54","2107-2107",1,2.6e-08,23.13,20.8,0.23,-5.52,"Muy Largo Plazo",-17.4651692989249,"Nivel Bajo","Nivel Alto",2107,2107
"206","2016 JO38","2018-2116",455,9.5e-07,7.34,24.8,0.037,-5.53,"Medio Plazo",-13.8668038523518,"Nivel Bajo","Nivel Alto",2018,2116
"207","2016 PM38","2020-2020",1,7.6e-07,8.13,26,0.021,-5.53,"Medio Plazo",-14.089947403666,"Nivel Medio","Nivel Alto",2020,2020
"208","2014 GQ17","2052-2115",81,5.2e-05,5.41,27.1,0.013,-5.54,"Muy Largo Plazo",-9.86426683938285,"Nivel Medio","Nivel Alto",2052,2115
"209","2016 HF3","2078-2078",1,3.6e-06,7.93,24.8,0.038,-5.54,"Muy Largo Plazo",-12.5345767125022,"Nivel Bajo","Nivel Alto",2078,2078
"210","2012 TV","2070-2107",13,3.1e-06,16.67,25.2,0.031,-5.55,"Muy Largo Plazo",-12.6841084464732,"Nivel Bajo","Nivel Medio",2070,2107
"211","2017 FB1","2098-2106",3,4.1e-07,22.16,23.4,0.071,-5.55,"Muy Largo Plazo",-14.7071086772481,"Nivel Bajo","Nivel Medio",2098,2106
"212","2011 CW46","2021-2115",100,5e-07,16.62,24.7,0.039,-5.56,"Medio Plazo",-14.5086577385242,"Nivel Bajo","Nivel Medio",2021,2115
"213","2012 VJ38","2031-2111",27,0.00011,4.45,28.5,0.007,-5.56,"Largo Plazo",-9.11503019217186,"Nivel Alto","Nivel Medio",2031,2111
"214","2013 FU13","2081-2098",5,6.8e-05,5.73,27.2,0.012,-5.56,"Muy Largo Plazo",-9.59600285278817,"Nivel Medio","Nivel Medio",2081,2098
"215","2008 CT1","2041-2117",148,6.1e-05,13.77,27.6,0.01,-5.57,"Largo Plazo",-9.70463669379096,"Nivel Alto","Nivel Medio",2041,2117
"216","2009 RR","2098-2115",24,8.3e-06,12.95,25.6,0.026,-5.57,"Muy Largo Plazo",-11.6992550431617,"Nivel Medio","Nivel Medio",2098,2115
"217","2009 BF58","2055-2117",34,6.2e-05,6.68,27.2,0.012,-5.6,"Muy Largo Plazo",-9.68837617291918,"Nivel Medio","Nivel Medio",2055,2117
"218","2011 AK37","2097-2097",1,4.7e-06,11.87,25.2,0.031,-5.61,"Muy Largo Plazo",-12.2679480492483,"Nivel Bajo","Nivel Medio",2097,2097
"219","2006 HX57","2045-2065",2,3.1e-06,10.53,25.2,0.031,-5.62,"Largo Plazo",-12.6841084464732,"Nivel Bajo","Nivel Medio",2045,2065
"220","2009 CZ1","2058-2074",2,7.5e-07,17.81,24.4,0.044,-5.62,"Muy Largo Plazo",-14.1031926304161,"Nivel Bajo","Nivel Medio",2058,2074
"221","2011 FQ6","2053-2115",30,6.5e-05,10.5,27.7,0.01,-5.65,"Muy Largo Plazo",-9.64112328806864,"Nivel Alto","Nivel Medio",2053,2115
"222","2012 DJ54","2068-2117",36,0.00023,5.43,28.5,0.007,-5.66,"Muy Largo Plazo",-8.37743124904108,"Nivel Alto","Nivel Medio",2068,2117
"223","2010 UB","2116-2116",2,3.6e-06,7.99,24.6,0.041,-5.66,"Muy Largo Plazo",-12.5345767125022,"Nivel Bajo","Nivel Medio",2116,2116
"224","2016 NK22","2084-2115",81,0.00045,6.88,28.9,0.005,-5.66,"Muy Largo Plazo",-7.70626297519991,"Nivel Alto","Nivel Medio",2084,2115
"225","2017 RZ15","2071-2117",29,5e-05,7.87,27.1,0.013,-5.66,"Muy Largo Plazo",-9.90348755253613,"Nivel Medio","Nivel Medio",2071,2117
"226","2017 OE7","2114-2114",1,2.9e-05,4.28,26.3,0.019,-5.66,"Muy Largo Plazo",-10.4482147279778,"Nivel Medio","Nivel Medio",2114,2114
"227","2016 LP10","2023-2115",28,0.00011,15.57,29.5,0.004,-5.67,"Medio Plazo",-9.11503019217186,"Nivel Alto","Nivel Medio",2023,2115
"228","2012 BL14","2019-2116",528,1.6e-05,19.81,28.2,0.008,-5.67,"Medio Plazo",-11.0429218357245,"Nivel Alto","Nivel Medio",2019,2116
"229","2017 MZ8","2020-2115",57,3.4e-08,9.65,22.4,0.111,-5.68,"Medio Plazo",-17.1969053123302,"Nivel Bajo","Nivel Medio",2020,2115
"230","2010 UH","2047-2115",38,5.1e-05,6.74,27.1,0.013,-5.69,"Largo Plazo",-9.88368492523995,"Nivel Medio","Nivel Medio",2047,2115
"231","2012 WS3","2082-2116",33,1.2e-05,8.78,25.9,0.022,-5.69,"Muy Largo Plazo",-11.3306039081763,"Nivel Medio","Nivel Medio",2082,2116
"232","2017 QF3","2043-2101",28,3.2e-05,12.76,27.8,0.009,-5.69,"Largo Plazo",-10.3497746551645,"Nivel Alto","Nivel Medio",2043,2101
"233","2013 RS43","2073-2116",42,3.9e-05,5.68,27,0.013,-5.7,"Muy Largo Plazo",-10.1519489118346,"Nivel Medio","Nivel Medio",2073,2116
"234","2016 CD30","2056-2111",11,4.2e-05,10.53,27.7,0.01,-5.71,"Muy Largo Plazo",-10.0778409396809,"Nivel Alto","Nivel Medio",2056,2111
"235","2009 VA","2025-2048",18,2.2e-05,8.26,28.6,0.006,-5.74,"Largo Plazo",-10.724468104606,"Nivel Alto","Nivel Medio",2025,2048
"236","2010 KJ37","2024-2115",57,2.4e-07,6.62,23.9,0.055,-5.74,"Medio Plazo",-15.2426269136044,"Nivel Bajo","Nivel Medio",2024,2115
"237","2012 BU1","2071-2116",26,7.3e-05,8.96,27.7,0.01,-5.74,"Muy Largo Plazo",-9.52505111681588,"Nivel Alto","Nivel Medio",2071,2116
"238","2010 UY7","2066-2114",46,0.00023,3.87,28.5,0.007,-5.75,"Muy Largo Plazo",-8.37743124904108,"Nivel Alto","Nivel Medio",2066,2114
"239","2011 AY22","2044-2115",33,2.8e-05,12.98,27.1,0.013,-5.75,"Largo Plazo",-10.4833060477891,"Nivel Medio","Nivel Medio",2044,2115
"240","2011 BU59","2089-2117",19,1.2e-05,11.29,26.2,0.019,-5.75,"Muy Largo Plazo",-11.3306039081763,"Nivel Medio","Nivel Medio",2089,2117
"241","2012 BK14","2020-2117",668,5.3e-05,3.71,28,0.009,-5.75,"Medio Plazo",-9.84521864441215,"Nivel Alto","Nivel Medio",2020,2117
"242","2017 AA21","2020-2117",195,2.6e-06,7.77,26,0.021,-5.75,"Medio Plazo",-12.8599991129368,"Nivel Medio","Nivel Medio",2020,2117
"243","2006 UU17","2075-2107",6,1.7e-05,9.8,26.4,0.018,-5.76,"Muy Largo Plazo",-10.9822972139081,"Nivel Medio","Nivel Medio",2075,2107
"244","2009 HW67","2046-2079",4,2.9e-06,22.61,26.1,0.02,-5.77,"Largo Plazo",-12.7507998209718,"Nivel Medio","Nivel Medio",2046,2079
"245","2012 LJ","2072-2072",1,2.3e-06,18.68,25.6,0.026,-5.77,"Muy Largo Plazo",-12.9826014350292,"Nivel Medio","Nivel Medio",2072,2072
"246","2017 KB3","2080-2115",25,2.9e-06,11.44,24.9,0.035,-5.77,"Muy Largo Plazo",-12.7507998209718,"Nivel Bajo","Nivel Medio",2080,2115
"247","2011 BF40","2083-2083",1,1.2e-06,18.5,24.8,0.037,-5.78,"Muy Largo Plazo",-13.6331890011703,"Nivel Bajo","Nivel Medio",2083,2083
"248","2014 QC391","2078-2116",44,5.6e-05,7.61,27.5,0.011,-5.79,"Muy Largo Plazo",-9.79015886722913,"Nivel Alto","Nivel Medio",2078,2116
"249","2016 JB18","2089-2116",16,6.9e-05,3.25,27.4,0.011,-5.79,"Muy Largo Plazo",-9.58140405336701,"Nivel Alto","Nivel Medio",2089,2116
"250","2017 AB21","2024-2110",25,5.6e-09,10.69,20.7,0.243,-5.8,"Medio Plazo",-19.0004992392053,"Nivel Bajo","Nivel Medio",2024,2110
"251","2007 YM","2019-2115",250,4.4e-06,7.63,26.3,0.018,-5.81,"Medio Plazo",-12.3339060170401,"Nivel Medio","Nivel Medio",2019,2115
"252","2015 BW516","2034-2073",7,2.2e-05,11.4,27.7,0.01,-5.81,"Largo Plazo",-10.724468104606,"Nivel Alto","Nivel Medio",2034,2073
"253","2017 UJ43","2050-2109",29,4.9e-05,6.91,27.8,0.009,-5.81,"Muy Largo Plazo",-9.92369025985365,"Nivel Alto","Nivel Medio",2050,2109
"254","2012 VS76","2080-2114",10,1.8e-05,11.47,26.9,0.014,-5.82,"Muy Largo Plazo",-10.9251388000681,"Nivel Medio","Nivel Medio",2080,2114
"255","443104 2013 XK22","2101-2101",1,1.4e-06,6.9,24.2,0.05,-5.82,"Muy Largo Plazo",-13.4790383213431,"Nivel Bajo","Nivel Medio",2101,2101
"256","2015 DQ224","2025-2089",191,8.3e-05,14.95,29.3,0.005,-5.83,"Largo Plazo",-9.39666995016768,"Nivel Alto","Nivel Medio",2025,2089
"257","2013 NH6","2060-2060",2,1.1e-07,21.74,23.4,0.073,-5.83,"Muy Largo Plazo",-16.022785471154,"Nivel Bajo","Nivel Medio",2060,2060
"258","2007 UN12","2071-2116",34,0.00025,1.57,28.7,0.006,-5.84,"Muy Largo Plazo",-8.29404964010203,"Nivel Alto","Nivel Medio",2071,2116
"259","2011 DS","2065-2116",16,2.7e-05,6.54,27,0.013,-5.84,"Muy Largo Plazo",-10.5196736919599,"Nivel Medio","Nivel Medio",2065,2116
"260","2016 SA2","2110-2116",11,0.00014,5.19,28.1,0.008,-5.84,"Muy Largo Plazo",-8.87386813535497,"Nivel Alto","Nivel Medio",2110,2116
"261","2017 YO3","2049-2067",26,4.1e-05,8.31,28.2,0.008,-5.85,"Largo Plazo",-10.10193849126,"Nivel Alto","Nivel Medio",2049,2067
"262","2016 SK2","2073-2082",5,2.2e-06,13.64,25.3,0.029,-5.85,"Muy Largo Plazo",-13.0270531976,"Nivel Bajo","Nivel Medio",2073,2082
"263","2008 LE","2018-2116",122,2.3e-06,8.63,26,0.022,-5.85,"Medio Plazo",-12.9826014350292,"Nivel Medio","Nivel Medio",2018,2116
"264","2010 LJ68","2020-2106",25,4.9e-08,9.67,22.9,0.089,-5.86,"Medio Plazo",-16.8314455388358,"Nivel Bajo","Nivel Medio",2020,2106
"265","2011 DV10","2093-2093",1,1.2e-06,16.27,24.8,0.038,-5.86,"Muy Largo Plazo",-13.6331890011703,"Nivel Bajo","Nivel Medio",2093,2093
"266","2007 XZ9","2068-2089",2,1.1e-06,13.01,24.8,0.037,-5.87,"Muy Largo Plazo",-13.7202003781599,"Nivel Bajo","Nivel Medio",2068,2089
"267","2009 WR52","2031-2113",59,8.4e-05,5.41,28.3,0.007,-5.87,"Largo Plazo",-9.38469375912096,"Nivel Alto","Nivel Medio",2031,2113
"268","2005 SO1","2110-2110",9,3.9e-06,12.02,25.4,0.028,-5.87,"Muy Largo Plazo",-12.4545340048287,"Nivel Bajo","Nivel Medio",2110,2110
"269","2015 EO","2050-2083",7,7e-06,14.25,26.6,0.016,-5.87,"Muy Largo Plazo",-11.869600408909,"Nivel Medio","Nivel Medio",2050,2083
"270","2015 DD54","2114-2116",3,6.1e-06,6.72,25.4,0.028,-5.88,"Muy Largo Plazo",-12.007221786785,"Nivel Bajo","Nivel Medio",2114,2116
"271","2017 HG4","2048-2115",23,3.9e-05,3.71,27.6,0.01,-5.88,"Largo Plazo",-10.1519489118346,"Nivel Alto","Nivel Medio",2048,2115
"272","2007 UD6","2058-2096",53,8.8e-05,5.99,28.3,0.007,-5.89,"Muy Largo Plazo",-9.33817374348607,"Nivel Alto","Nivel Medio",2058,2096
"273","2017 UE52","2020-2108",56,2.6e-08,11.74,22.9,0.091,-5.89,"Medio Plazo",-17.4651692989249,"Nivel Bajo","Nivel Medio",2020,2108
"274","2009 HC","2095-2114",10,2.9e-06,3.72,24.8,0.038,-5.9,"Muy Largo Plazo",-12.7507998209718,"Nivel Bajo","Nivel Medio",2095,2114
"275","2015 MN11","2081-2081",2,5.1e-07,21.06,24.5,0.042,-5.9,"Muy Largo Plazo",-14.488855111228,"Nivel Bajo","Nivel Medio",2081,2081
"276","2010 HP20","2021-2115",631,4.9e-05,7.36,28.2,0.008,-5.91,"Medio Plazo",-9.92369025985365,"Nivel Alto","Nivel Medio",2021,2115
"277","2011 CL50","2040-2116",75,5e-05,3.51,27.6,0.01,-5.91,"Largo Plazo",-9.90348755253613,"Nivel Alto","Nivel Medio",2040,2116
"278","2011 TO","2063-2076",5,6e-06,8.55,26.3,0.019,-5.91,"Muy Largo Plazo",-12.0237510887362,"Nivel Medio","Nivel Medio",2063,2076
"279","2017 FN1","2033-2072",7,0.00017,17.92,30.6,0.003,-5.91,"Largo Plazo",-8.67971212091401,"Nivel Alto","Nivel Medio",2033,2072
"280","2006 WZ184","2084-2114",25,9.3e-06,7.26,26.1,0.021,-5.92,"Muy Largo Plazo",-11.5854961578051,"Nivel Medio","Nivel Medio",2084,2114
"281","2011 KF36","2022-2106",6,9.9e-10,22.33,20.4,0.28,-5.92,"Medio Plazo",-20.7333161727999,"Nivel Bajo","Nivel Medio",2022,2106
"282","2013 RO30","2044-2095",10,9.1e-05,9.26,28.4,0.007,-5.92,"Largo Plazo",-9.30465105144742,"Nivel Alto","Nivel Medio",2044,2095
"283","2015 RN35","2092-2114",5,4e-07,5.73,23.1,0.082,-5.92,"Muy Largo Plazo",-14.7318012898384,"Nivel Bajo","Nivel Medio",2092,2114
"284","2005 TH50","2031-2101",25,5.5e-05,4.95,28,0.009,-5.93,"Largo Plazo",-9.8081773727318,"Nivel Alto","Nivel Medio",2031,2101
"285","2006 WV29","2036-2108",12,5.7e-06,16.74,26.5,0.017,-5.93,"Largo Plazo",-12.0750443831238,"Nivel Medio","Nivel Medio",2036,2108
"286","2009 TU","2086-2111",7,1.9e-05,15.15,27.4,0.011,-5.93,"Muy Largo Plazo",-10.8710715787978,"Nivel Alto","Nivel Medio",2086,2111
"287","2016 GK2","2092-2116",9,4.8e-05,9.12,27.8,0.009,-5.93,"Muy Largo Plazo",-9.94430954705638,"Nivel Alto","Nivel Medio",2092,2116
"288","2017 UC52","2046-2116",43,4e-07,13.63,24.3,0.048,-5.93,"Largo Plazo",-14.7318012898384,"Nivel Bajo","Nivel Medio",2046,2116
"289","2015 TG24","2102-2116",30,1.6e-05,9.84,26.7,0.016,-5.94,"Muy Largo Plazo",-11.0429218357245,"Nivel Medio","Nivel Medio",2102,2116
"290","2014 OM207","2089-2101",3,0.00023,8.2,29.1,0.005,-5.95,"Muy Largo Plazo",-8.37743124904108,"Nivel Alto","Nivel Medio",2089,2101
"291","2007 PR25","2094-2113",3,1.9e-08,29.29,21.9,0.14,-5.96,"Muy Largo Plazo",-17.77882685778,"Nivel Bajo","Nivel Medio",2094,2113
"292","2004 VZ14","2076-2114",4,1.9e-06,15.26,25.3,0.03,-5.96,"Muy Largo Plazo",-13.1736566717919,"Nivel Bajo","Nivel Medio",2076,2114
"293","2008 EV84","2041-2106",3,7.1e-07,12.93,25.4,0.029,-5.96,"Largo Plazo",-14.1580008669111,"Nivel Bajo","Nivel Medio",2041,2106
"294","2013 JA17","2027-2092",2,7e-10,9.64,19.1,0.51,-5.96,"Largo Plazo",-21.0799407808851,"Nivel Bajo","Nivel Medio",2027,2092
"295","2006 BM8","2106-2115",11,2.6e-06,14.79,25.4,0.028,-5.97,"Muy Largo Plazo",-12.8599991129368,"Nivel Bajo","Nivel Medio",2106,2115
"296","2013 GA55","2070-2114",23,4.5e-05,9.34,27.7,0.01,-5.97,"Muy Largo Plazo",-10.008848068194,"Nivel Alto","Nivel Medio",2070,2114
"297","2007 EO88","2073-2111",8,8.6e-06,10.95,26.4,0.018,-5.98,"Muy Largo Plazo",-11.6637483547048,"Nivel Medio","Nivel Medio",2073,2111
"298","2012 PB20","2066-2116",10,2.8e-06,4.03,24.9,0.035,-5.98,"Muy Largo Plazo",-12.7858911407831,"Nivel Bajo","Nivel Medio",2066,2116
"299","2017 WL15","2058-2114",15,2.5e-06,17.98,25.8,0.023,-5.98,"Muy Largo Plazo",-12.8992198260901,"Nivel Medio","Nivel Medio",2058,2114
"300","2011 CF66","2018-2117",836,1.4e-05,13.03,27.8,0.009,-5.99,"Medio Plazo",-11.176453228349,"Nivel Alto","Nivel Medio",2018,2117
"301","2009 JL2","2057-2116",12,3.4e-06,12.83,26,0.022,-6,"Muy Largo Plazo",-12.5917351263422,"Nivel Medio","Nivel Medio",2057,2116
"302","2016 CY135","2103-2114",5,1.4e-06,6.74,24.4,0.044,-6,"Muy Largo Plazo",-13.4790383213431,"Nivel Bajo","Nivel Medio",2103,2114
"303","2015 ET","2076-2117",11,8.9e-06,11.67,26.7,0.016,-6.01,"Muy Largo Plazo",-11.6294592812262,"Nivel Medio","Nivel Medio",2076,2117
"304","2016 RP41","2019-2114",49,1.7e-08,8.23,22.5,0.11,-6.01,"Medio Plazo",-17.8900524928902,"Nivel Bajo","Nivel Medio",2019,2114
"305","2013 BR27","2073-2106",40,2.9e-05,10.95,27.7,0.01,-6.02,"Muy Largo Plazo",-10.4482147279778,"Nivel Alto","Nivel Medio",2073,2106
"306","2015 XR169","2050-2116",159,8.1e-05,9.53,28.8,0.006,-6.02,"Muy Largo Plazo",-9.42106140329184,"Nivel Alto","Nivel Medio",2050,2116
"307","2017 YO5","2090-2114",10,7.3e-06,7.31,26.1,0.02,-6.02,"Muy Largo Plazo",-11.8276362098099,"Nivel Medio","Nivel Medio",2090,2114
"308","1991 BA","2023-2115",46,1.1e-05,17.23,28.7,0.006,-6.03,"Medio Plazo",-11.4176152851659,"Nivel Alto","Nivel Medio",2023,2115
"309","2009 HS44","2111-2111",1,6.3e-06,18.29,26.6,0.017,-6.03,"Muy Largo Plazo",-11.9749609245668,"Nivel Medio","Nivel Medio",2111,2111
"310","2014 QF33","2076-2082",2,1.4e-07,23.29,23.8,0.06,-6.03,"Muy Largo Plazo",-15.7816234143371,"Nivel Bajo","Nivel Medio",2076,2082
"311","2015 FA345","2024-2102",17,1.6e-07,9.44,24.1,0.052,-6.03,"Medio Plazo",-15.6480920217126,"Nivel Bajo","Nivel Medio",2024,2102
"312","2007 TL16","2074-2090",10,5.1e-06,11.43,26.2,0.019,-6.04,"Muy Largo Plazo",-12.186270018234,"Nivel Medio","Nivel Medio",2074,2090
"313","2014 GY44","2074-2089",4,1.7e-06,12.31,25.4,0.028,-6.05,"Muy Largo Plazo",-13.2848823069021,"Nivel Bajo","Nivel Medio",2074,2089
"314","2016 EM156","2108-2116",4,5.7e-05,8.81,27.9,0.009,-6.05,"Muy Largo Plazo",-9.77245929012972,"Nivel Alto","Nivel Medio",2108,2116
"315","2010 TW54","2074-2115",16,3.2e-05,7.78,27.6,0.01,-6.07,"Muy Largo Plazo",-10.3497746551645,"Nivel Alto","Nivel Medio",2074,2115
"316","2017 RC","2086-2117",26,4.5e-05,9.85,27.9,0.009,-6.07,"Muy Largo Plazo",-10.008848068194,"Nivel Alto","Nivel Medio",2086,2117
"317","2014 SR261","2058-2115",8,4.6e-06,15.27,26.8,0.015,-6.07,"Muy Largo Plazo",-12.2894542544692,"Nivel Medio","Nivel Medio",2058,2115
"318","2014 CH13","2019-2116",135,1.5e-07,5.11,24.3,0.047,-6.07,"Medio Plazo",-15.7126305428502,"Nivel Bajo","Nivel Medio",2019,2116
"319","2012 BA102","2104-2117",7,1.2e-05,7.21,26.5,0.017,-6.08,"Muy Largo Plazo",-11.3306039081763,"Nivel Medio","Nivel Medio",2104,2117
"320","2016 CG18","2062-2116",40,8.8e-05,4.25,28.5,0.007,-6.08,"Muy Largo Plazo",-9.33817374348607,"Nivel Alto","Nivel Medio",2062,2116
"321","2016 NP56","2024-2113",17,4.5e-06,2.18,26.2,0.019,-6.08,"Medio Plazo",-12.311433161188,"Nivel Medio","Nivel Medio",2024,2113
"322","2016 LG10","2108-2108",4,3.2e-06,8.69,25.5,0.027,-6.1,"Muy Largo Plazo",-12.6523597481586,"Nivel Bajo","Nivel Medio",2108,2108
"323","2012 XM16","2081-2107",2,2.4e-06,12.69,25.8,0.024,-6.1,"Muy Largo Plazo",-12.9400418206104,"Nivel Medio","Nivel Medio",2081,2107
"324","2015 TL21","2061-2095",10,4e-06,15.23,26.4,0.017,-6.1,"Muy Largo Plazo",-12.4292161968444,"Nivel Medio","Nivel Medio",2061,2095
"325","2017 UL7","2028-2051",5,1.3e-07,16.24,24.4,0.045,-6.1,"Largo Plazo",-15.8557313864908,"Nivel Bajo","Nivel Medio",2028,2051
"326","2013 WZ44","2111-2111",1,3e-06,12.56,25.7,0.025,-6.11,"Muy Largo Plazo",-12.7168982692962,"Nivel Medio","Nivel Medio",2111,2111
"327","2009 TD17","2047-2110",55,2.3e-05,6.57,27.7,0.01,-6.12,"Largo Plazo",-10.6800163420351,"Nivel Alto","Nivel Medio",2047,2110
"328","2014 HD198","2018-2115",79,8e-06,17.56,29.6,0.004,-6.13,"Medio Plazo",-11.7360690162844,"Nivel Alto","Nivel Medio",2018,2115
